[1518-06-25 23:58] Guard #1069 begins shift
[1518-09-16 00:24] falls asleep
[1518-04-06 00:56] wakes up
[1518-11-04 00:48] wakes up
[1518-04-24 00:19] falls asleep
[1518-06-02 23:59] Guard #1697 begins shift
[1518-08-06 00:00] Guard #947 begins shift
[1518-11-01 00:41] falls asleep
[1518-03-14 00:43] falls asleep
[1518-09-06 00:47] wakes up
[1518-08-02 00:17] falls asleep
[1518-06-01 00:12] falls asleep
[1518-05-18 23:58] Guard #1697 begins shift
[1518-07-09 00:47] wakes up
[1518-10-04 00:46] falls asleep
[1518-04-19 00:23] falls asleep
[1518-08-23 00:59] wakes up
[1518-03-24 00:30] wakes up
[1518-08-18 00:15] falls asleep
[1518-07-17 23:57] Guard #2339 begins shift
[1518-10-08 00:10] falls asleep
[1518-05-29 23:59] Guard #1097 begins shift
[1518-09-05 23:59] Guard #3229 begins shift
[1518-09-02 00:52] wakes up
[1518-10-18 00:02] falls asleep
[1518-04-01 00:55] wakes up
[1518-07-14 00:27] falls asleep
[1518-04-17 00:29] falls asleep
[1518-05-24 00:00] falls asleep
[1518-10-07 00:53] wakes up
[1518-07-20 00:15] falls asleep
[1518-03-14 00:00] Guard #1901 begins shift
[1518-06-26 00:17] falls asleep
[1518-05-03 00:59] wakes up
[1518-05-11 00:40] falls asleep
[1518-03-22 00:15] falls asleep
[1518-03-12 00:02] Guard #947 begins shift
[1518-04-01 00:01] Guard #641 begins shift
[1518-10-06 00:25] falls asleep
[1518-04-19 23:52] Guard #1889 begins shift
[1518-04-13 00:45] falls asleep
[1518-09-18 00:20] falls asleep
[1518-03-19 00:45] wakes up
[1518-03-20 00:51] wakes up
[1518-06-05 00:10] falls asleep
[1518-10-01 23:59] Guard #3433 begins shift
[1518-08-22 00:04] Guard #2039 begins shift
[1518-06-19 00:14] falls asleep
[1518-07-03 00:31] falls asleep
[1518-08-13 00:12] falls asleep
[1518-11-21 00:18] wakes up
[1518-08-14 00:55] wakes up
[1518-10-14 00:58] wakes up
[1518-10-12 00:04] Guard #1663 begins shift
[1518-10-13 00:02] Guard #2003 begins shift
[1518-09-17 00:57] wakes up
[1518-10-03 00:49] falls asleep
[1518-10-06 23:59] Guard #2039 begins shift
[1518-08-14 00:51] falls asleep
[1518-10-11 00:02] falls asleep
[1518-03-14 00:09] falls asleep
[1518-08-08 00:01] Guard #1069 begins shift
[1518-05-01 00:48] wakes up
[1518-07-12 00:38] wakes up
[1518-09-25 23:58] Guard #1783 begins shift
[1518-09-29 00:50] wakes up
[1518-04-22 00:31] wakes up
[1518-04-23 00:29] falls asleep
[1518-03-24 00:26] falls asleep
[1518-10-28 00:52] falls asleep
[1518-10-17 00:35] falls asleep
[1518-11-05 00:41] wakes up
[1518-06-10 23:54] Guard #1237 begins shift
[1518-05-05 00:17] falls asleep
[1518-09-14 00:25] falls asleep
[1518-05-22 00:25] falls asleep
[1518-10-24 00:47] falls asleep
[1518-05-15 00:28] falls asleep
[1518-07-25 00:26] wakes up
[1518-04-03 00:07] falls asleep
[1518-06-15 00:38] wakes up
[1518-07-09 23:56] Guard #947 begins shift
[1518-08-27 00:38] wakes up
[1518-03-04 00:10] wakes up
[1518-08-29 00:41] falls asleep
[1518-05-03 00:52] wakes up
[1518-06-10 00:22] wakes up
[1518-05-17 00:07] falls asleep
[1518-03-10 00:44] wakes up
[1518-11-09 00:32] wakes up
[1518-06-20 00:00] Guard #1697 begins shift
[1518-07-18 00:36] wakes up
[1518-05-04 00:20] wakes up
[1518-08-31 00:01] Guard #1901 begins shift
[1518-07-24 00:27] falls asleep
[1518-10-16 00:37] wakes up
[1518-11-03 00:01] Guard #1783 begins shift
[1518-03-16 00:09] falls asleep
[1518-11-18 23:52] Guard #1237 begins shift
[1518-10-18 00:39] wakes up
[1518-09-11 00:30] wakes up
[1518-10-09 00:35] falls asleep
[1518-03-16 00:52] falls asleep
[1518-03-29 00:52] wakes up
[1518-05-23 23:51] Guard #277 begins shift
[1518-03-17 00:46] falls asleep
[1518-03-15 00:54] wakes up
[1518-04-26 00:57] wakes up
[1518-06-15 00:32] falls asleep
[1518-03-16 00:58] wakes up
[1518-04-29 00:56] falls asleep
[1518-09-28 23:51] Guard #277 begins shift
[1518-06-28 00:03] Guard #1889 begins shift
[1518-04-17 00:59] wakes up
[1518-04-10 00:35] falls asleep
[1518-08-29 00:53] wakes up
[1518-04-05 00:00] Guard #3229 begins shift
[1518-10-09 00:19] wakes up
[1518-03-09 00:26] wakes up
[1518-10-20 00:47] falls asleep
[1518-10-09 00:50] wakes up
[1518-08-30 00:45] wakes up
[1518-05-12 23:51] Guard #1237 begins shift
[1518-08-23 00:39] wakes up
[1518-10-02 23:57] Guard #1901 begins shift
[1518-04-25 00:32] wakes up
[1518-08-15 00:16] falls asleep
[1518-10-30 00:52] wakes up
[1518-07-08 00:29] falls asleep
[1518-07-14 23:57] Guard #863 begins shift
[1518-03-30 00:50] wakes up
[1518-06-27 00:58] wakes up
[1518-04-11 00:25] wakes up
[1518-10-26 00:45] wakes up
[1518-05-20 00:02] Guard #2039 begins shift
[1518-04-11 00:03] Guard #2161 begins shift
[1518-07-10 00:59] wakes up
[1518-04-30 00:54] falls asleep
[1518-06-28 00:29] wakes up
[1518-05-05 00:02] Guard #863 begins shift
[1518-07-26 00:45] falls asleep
[1518-06-10 00:42] falls asleep
[1518-05-26 00:06] falls asleep
[1518-04-01 00:06] falls asleep
[1518-08-13 23:49] Guard #947 begins shift
[1518-08-31 00:59] wakes up
[1518-10-24 00:49] wakes up
[1518-08-18 00:51] wakes up
[1518-10-05 00:01] Guard #1697 begins shift
[1518-10-17 23:47] Guard #3559 begins shift
[1518-07-13 23:46] Guard #2161 begins shift
[1518-07-23 00:39] falls asleep
[1518-04-16 00:55] wakes up
[1518-06-05 00:56] wakes up
[1518-04-11 00:23] falls asleep
[1518-08-31 23:57] Guard #3461 begins shift
[1518-09-25 00:35] falls asleep
[1518-11-16 00:00] falls asleep
[1518-09-27 00:04] falls asleep
[1518-04-11 00:38] falls asleep
[1518-04-15 00:28] falls asleep
[1518-09-15 00:20] falls asleep
[1518-06-05 23:56] Guard #3229 begins shift
[1518-06-08 00:58] wakes up
[1518-06-14 00:02] Guard #947 begins shift
[1518-10-21 00:03] Guard #2003 begins shift
[1518-07-03 00:50] wakes up
[1518-05-18 00:48] wakes up
[1518-05-30 00:46] falls asleep
[1518-07-11 00:07] falls asleep
[1518-07-25 00:29] falls asleep
[1518-04-26 00:49] falls asleep
[1518-03-08 00:50] wakes up
[1518-06-24 00:40] falls asleep
[1518-08-20 00:53] wakes up
[1518-10-30 23:56] Guard #1097 begins shift
[1518-10-31 00:51] falls asleep
[1518-05-23 00:56] wakes up
[1518-04-24 00:02] Guard #1901 begins shift
[1518-06-14 00:56] wakes up
[1518-08-16 00:58] wakes up
[1518-06-22 00:04] Guard #2339 begins shift
[1518-05-30 00:48] wakes up
[1518-04-05 23:59] Guard #3559 begins shift
[1518-07-31 00:51] wakes up
[1518-06-27 00:40] falls asleep
[1518-04-06 00:23] wakes up
